POPC    H5Y     0.090   1.3400  HAL2
POPC    C36     -0.180  2.010   CTL2
POPC    H6X     0.090   1.3400  HAL2
POPC    H6Y     0.090   1.3400  HAL2
POPC    C37     -0.180  2.010   CTL2
POPC    H7X     0.090   1.3400  HAL2
POPC    H7Y     0.090   1.3400  HAL2
POPC    C38     -0.180  2.010   CTL2
POPC    H8X     0.090   1.3400  HAL2
POPC    H8Y     0.090   1.3400  HAL2
POPC    C39     -0.180  2.010   CTL2
POPC    H9X     0.090   1.3400  HAL2
POPC    H9Y     0.090   1.3400  HAL2
POPC    C310    -0.180  2.010   CTL2
POPC    H10X    0.090   1.3400  HAL2
POPC    H10Y    0.090   1.3400  HAL2
POPC    C311    -0.180  2.010   CTL2
POPC    H11X    0.090   1.3400  HAL2
POPC    H11Y    0.090   1.3400  HAL2
POPC    C312    -0.180  2.010   CTL2
POPC    H12X    0.090   1.3400  HAL2
POPC    H12Y    0.090   1.3400  HAL2
POPC    C313    -0.180  2.010   CTL2
POPC    H13X    0.090   1.3400  HAL2
POPC    H13Y    0.090   1.3400  HAL2
POPC    C314    -0.180  2.010   CTL2
POPC    H14X    0.090   1.3400  HAL2
POPC    H14Y    0.090   1.3400  HAL2
POPC    C315    -0.180  2.010   CTL2
POPC    H15X    0.090   1.3400  HAL2
POPC    H15Y    0.090   1.3400  HAL2
POPC    C316    -0.270  2.040   CTL3
POPC    H16X    0.090   1.3400  HAL3
POPC    H16Y    0.090   1.3400  HAL3
POPC    H16Z    0.090   1.3400  HAL3
PSM	N	-0.600	1.85	NTL
PSM	C15	-0.350	2.06	CTL5
PSM	H15A	0.250	0.7	HL
PSM	H15B	0.250	0.7	HL
PSM	H15C	0.250	0.7	HL
PSM	C14	-0.350	2.06	CTL5
PSM	H14A	0.250	0.7	HL
PSM	H14B	0.250	0.7	HL
PSM	H14C	0.250	0.7	HL
PSM	C13	-0.350	2.06	CTL5
PSM	H13A	0.250	0.7	HL
PSM	H13B	0.250	0.7	HL
